doc_key|doc_chap|doc_para|doc_content|doc_title|doc_label
179|2|31|Indeed, it was this new mentality and its demands that summoned the internet and the burgeoning information apparatus into our everyday lives. The burdens of life without a fixed destiny turned us toward the empowering information-rich resources of the new digital milieu as it offered new ways to amplify our voices and forge our own chosen patterns of connection. So profound is this phenomenon that one can say without exaggeration that the individual as the author of his or her own life is the protagonist of our age, whether we experience this fact as emancipation or affliction.|Chap 2, Para 31|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
180|2|32|Western modernity had formed around a canon of principles and laws that confer inviolable individual rights and acknowledge the sanctity of each individual life. However, it was not until the second modernity that felt experience began to catch up with formal law. This felt truth has been expressed in new demands to make *actual* in everyday life what is already established in law.|Chap 2, Para 32|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
181|2|33|In spite of its liberating potential, the second modernity was slated to become a hard place to live, and our conditions of existence today reflect this []trouble. Some of the challenges of the second modernity arise from the inevitable costs associated with the creation and sustenance of one's own life, but second-modernity instability is also the result of institutionalized shifts in economic and social policies and practices associated with the neoliberal paradigm and its rise to dominance. This far-reaching paradigm has been aimed at containing, rechanneling, and reversing the secular wave of second-modernity claims to self-determination and the habitats in which those claims can thrive. We live in this *collision* between a centuries-old story of modernization and a decades-old story of economic violence that thwarts our pursuit of effective life.|Chap 2, Para 33|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
182|2|34|"There is a rich and compelling literature that documents this turning point in economic history, and my aim here is simply to call attention to some of the themes in this larger narrative that are vital to our understanding of the collision: the condition of existence that summoned both the Apple ""miracle"" and surveillance capitalism's subsequent gestation and growth."|Chap 2, Para 34|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
183|2|35|The mid-1970s saw the postwar economic order under siege from stagnation, inflation, and sharply reduced growth, most markedly in the US and the UK. There were also new pressures on the political order as second-modernity individuals---especially students, young workers, African Americans, women, Latinos, and other marginalized groups---mobilized around demands for equal rights, voice, and participation. In the US the Vietnam War was a focal point of social unrest, and the corruption exposed by the Watergate scandal triggered public insistence on political reform. In the UK inflation had strained industrial relations beyond the breaking point. In both countries the specter of apparently intractable economic decay combined with vocal new demands on the democratic social compact produced confusion, anxiety, and desperation among elected officials ill-equipped to judge why once-reliable Keynesian policies had failed to reverse the course.|Chap 2, Para 35|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
184|2|36|"Neoliberal economists had been waiting in the wings for this opportunity, and their ideas flowed into the ""policy vacuum"" that now bedeviled both governments. Led by the Austrian economist Friedrich Hayek, fresh from []his 1974 Nobel Prize, and his American counterpart Milton Friedman, who received the Nobel two years later, they had honed their radical free-market economic theory, political ideology, and pragmatic agenda throughout the postwar period at the fringe of their profession, under the shadow of Keynesian domination, and now their time had come."|Chap 2, Para 36|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
185|2|37|"The free-market creed originated in Europe as a sweeping defense against the threat of totalitarian and communist collectivist ideologies. It aimed to revive acceptance of a self-regulating market as a natural force of such complexity and perfection that it demanded radical freedom from all forms of state oversight. Hayek explained the necessity of absolute individual and collective submission to the exacting disciplines of the market as an unknowable ""extended order"" that supersedes the legitimate political authority vested in the state: ""Modern economics explains how such an extended order... constitutes an information-gathering process... that no central planning agency, let alone any individual, could know as a whole, possess, or control...."" Hayek and his ideological brethren insisted on a capitalism stripped down to its raw core, unimpeded by any other force and impervious to any external authority. Inequality of wealth and rights was accepted and even celebrated as a necessary feature of a successful market system and as a force for progress. Hayek's ideology provided the intellectual superstructure and legitimation for a new theory of the firm that became another crucial antecedent to the surveillance capitalist corporation: its structure, moral content, and relationship to society."|Chap 2, Para 37|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
186|2|38|"The new conception was operationalized by economists Michael Jensen and William Meckling. Leaning heavily on Hayek's work, the two scholars took an ax to the pro-social principles of the twentieth-century corporation, an ax that became known as the ""shareholder value movement."" In 1976 Jensen and Meckling published a landmark article in which they reinterpreted the manager as a sort of parasite feeding off the host of ownership: unavoidable, perhaps, but nonetheless an obstacle to shareholder wealth. They boldly argued that structural disconnect between owners and managers ""can result in the value of the firm being substantially lower than it otherwise could be."" If managers suboptimized the value of the firm to its owners in favor of their own preferences and comfort, it was only rational for them to do so. The solution, these economists argued, was to assert the market's signal of value, []the share price, as the basis for a new incentive structure intended to finally and decisively align managerial behavior with owners' interests. Managers who failed to bend to the ineffable signals of Hayek's ""extended order"" would quickly become prey to the ""barbarians at the gate"" in a new and vicious hunt for unrealized market value."|Chap 2, Para 38|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
187|2|39|"In the ""crisis of democracy"" zeitgeist, the neoliberal vision and its reversion to market metrics was deeply attractive to politicians and policy makers, both as the means to evade political ownership of tough economic choices and because it promised to impose a new kind of *order* where disorder was feared. The absolute authority of market forces would be enshrined as the ultimate source of imperative control, displacing democratic contest and deliberation with an ideology of atomized individuals sentenced to perpetual competition for scarce resources. The disciplines of competitive markets promised to quiet unruly individuals and even transform them back into subjects too preoccupied with survival to complain."|Chap 2, Para 39|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
188|2|40|As the old collectivist enemies had receded, new ones took their place: state regulation and oversight, social legislation and welfare policies, labor unions and the institutions of collective bargaining, and the principles of democratic politics. Indeed, all these were to be replaced by the market's version of truth, and competition would be the solution to growth. The new aims would be achieved through supply-side reforms, including deregulation, privatization, and lower taxes.|Chap 2, Para 40|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
189|2|41|"Thirty-five years before Hayek and Friedman's ascendance, the great historian Karl Polanyi wrote eloquently on the rise of the market economy. Polanyi's studies led him to conclude that the operations of a self-regulating market are profoundly destructive when allowed to run free of countervailing laws and policies. He described the *double movement:* ""a network of measures and policies... integrated into powerful institutions designed to check the action of the market relative to labor, land, and money."""|Chap 2, Para 41|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
190|2|42|The double movement, Polanyi argued, supports the market form while tethering it to society: balancing, moderating, and mitigating its destructive excesses. Polanyi observed that such countermeasures emerged spontaneously in every European society during the second half of the nineteenth century. Each constructed legislative, regulatory, and institutional solutions to oversee contested new arenas such as workers' compensation, factory []inspection, municipal trading, public utilities, food safety, child labor, and public safety.|Chap 2, Para 42|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
191|2|43|In the US the double movement was achieved through decades of social contest that harnessed industrial production, however imperfectly, to society's needs. It appeared in the trust busting, civil society, and legislative reforms of the Progressive Era. Later it was elaborated in the legislative, juridical, social, and tax initiatives of the New Deal and the institutionalization of Keynesian economics during the post--World War II era: labor market, tax, and social welfare policies that ultimately increased economic and social equality. The double movement was further developed in the legislative initiatives of the Great Society, especially civil rights law and landmark environmental legislation. Many scholars credit such countermeasures with the success of market democracy in the US and Europe, a political economics that proved far more adaptive in its ability to produce reciprocities of demand and supply than either leftist theorists or even Polanyi had imagined, and by mid-century the large corporation appeared to be a deeply rooted and durable modern social institution.|Chap 2, Para 43|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
192|2|44|"The double movement was scheduled for demolition under the neoliberal flag, and implementation began immediately. In 1976, the same year that Jensen and Meckling published their pathbreaking analysis, President Jimmy Carter initiated the first significant efforts to radically align the corporation with Wall Street's market metrics, targeting the deregulation. What began as a ""ripple"" turned into ""a tidal wave that washed away controls from large segments of the economy in the last two decades of the twentieth century."" The implementation that began with Carter would define the Reagan and Thatcher eras, virtually every subsequent US presidency, and much of the rest of the world, as the new fiscal and social policies spread to Europe and other regions in varying degrees."|Chap 2, Para 44|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
193|2|45|"Thus began the disaggregation and diminishment of the US public firm. The public corporation as a social institution was reinterpreted as a costly error, and its long-standing reciprocities with customers and employees were recast as destructive violations of market efficiency. Financial carrots and sticks persuaded executives to dismember and shrink their companies, and the logic []of capitalism shifted from the profitable production of goods and services to increasingly exotic forms of financial speculation. The disciplines imposed by the new market operations stripped capitalism down to its raw core, and by 1989 Jensen confidently proclaimed the ""eclipse of the public corporation."""|Chap 2, Para 45|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
194|2|46|"By the turn of the century, as the foundational mechanisms of surveillance capitalism were just beginning to take shape, ""shareholder value maximization"" was widely accepted as the ""objective function"" of the firm. These principles, culled from a once-extremist philosophy, were canonized as standard practice across commercial, financial, and legal domains. By 2000, US public corporations employed fewer than half as many Americans as they did in 1970. In 2009 there were only half as many public firms as in 1997. The public corporation had become ""unnecessary for production, unsuited for stable employment and the provision of social welfare services, and incapable of proving a reliable long-term return on investment."" In this process the cult of the ""entrepreneur"" would rise to near-mythic prominence as the perfect union of ownership and management, replacing the rich existential possibilities of the second modernity with a single glorified template of audacity, competitive cunning, dominance, and wealth."|Chap 2, Para 46|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
195|2|47|"On August 9, 2011, around the same time that cheers erupted in Apple's conference room, 16,000 police officers flooded the streets of London, determined to quell ""the most widespread and prolonged breakdown of order in London's history since the Gordon riot of 1780."" The rioting had begun four nights earlier when a peaceful vigil triggered by the police shooting of a young man suddenly turned violent. In the days that followed, the number of rioters swelled as looting and arson spread to twenty-two of London's thirty-two boroughs and other major cities across Britain. Over four days of street action, thousands of people caused property damage of over \$50 million, and 3,000 people were arrested."|Chap 2, Para 47|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
196|2|48|"Even as Apple's ascension appeared to ratify the claims of second-modernity individuals, the streets of London told the grim legacy of a []three-decade experiment in economic growth through exclusion. One week after the rioting, an article by sociologist Saskia Sassen in the *Daily Beast* observed that ""if there's one underlying condition, it has to do with the unemployment and bitter poverty among people who desire to be part of the middle class and who are keenly aware of the sharp inequality between themselves and their country's wealthy elite. These are in many ways social revolutions with a small 'r,' protests against social conditions that have become unbearable."""|Chap 2, Para 48|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
197|2|49|"What were the social conditions that had become so *unbearable?* Many analysts agreed that the tragedy of Britain's riots was set into motion by neoliberalism's successful transformation of society: a program that was most comprehensively executed in the UK and the US. Indeed, research from the London School of Economics based on interviews with 270 people who had participated in the rioting reported on the predominant theme of inequality: ""no job, no money."" The terms of reference in nearly every study sound the same drumbeat: lack of opportunity, lack of access to education, marginalization, deprivation, grievance, hopelessness. And although the London riots differed substantially from other protests that preceded and followed, most notably the Indignados movement that began with a large-scale public mobilization in Madrid in May 2011 and the Occupy movement that would emerge on September 17 in Wall Street's Zuccotti Park, they shared a point of origin in the themes of economic inequality and exclusion."|Chap 2, Para 49|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
198|2|50|"The US, the UK, and most of Europe entered the second decade of the twenty-first century facing economic and social inequalities more extreme than anything since the Gilded Age and comparable to some of the world's poorest countries. Despite a decade of explosive digital growth that included the Apple miracle and the penetration of the internet into everyday life, dangerous social divisions suggested an even more stratified and antidemocratic future. ""In the age of new consensus financial policy stabilization,"" one US economist wrote, ""the economy has witnessed the largest transfer of income to the top in history."" A sobering 2016 report from the International Monetary Fund warned of instability, concluding that the global trends toward neoliberalism ""have not delivered as expected."" Instead, inequality had significantly diminished ""the level and the durability of growth"" while increasing volatility and creating permanent vulnerability to economic crisis."|Chap 2, Para 50|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
199|2|51|"[]The quest for effective life had been driven to the breaking point under the aegis of market freedom. Two years after the North London riots, research in the UK showed that by 2013, poverty fueled by lack of education and unemployment already excluded nearly a third of the population from routine social participation. Another UK report concluded, ""Workers on low and middle incomes are experiencing the biggest decline in their living standards since reliable records began in the mid-19th Century."" By 2015, austerity measures had eliminated 19 percent, or 18 billion pounds, from the budgets of local authorities, had forced an 8 percent cut in child protection spending, and had caused 150,000 pensioners to no longer enjoy access to vital services. Buy 2014 nearly half of the US population lived in functional poverty, with the highest wage in the bottom half of earners at about \$34,000. A 2012 US Department of Agriculture survey showed that close to 49 million people lived in ""food-insecure"" households."|Chap 2, Para 51|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
200|2|52|"In *Capital in the Twenty-First Century,* the French economist Thomas Piketty integrated years of income data to derive a general law of accumulation: the rate of return on capital tends to exceed the rate of economic growth. This tendency, summarized as *r \> g,* is a dynamic that produces ever-more-extreme income divergence and with it a range of antidemocratic social consequences long predicted as harbingers of an eventual crisis of capitalism. In this context, Piketty cites the ways in which financial elites use their outsized earnings to fund a cycle of political capture that protects their interests from political challenge. Indeed, a 2015 *New York Times* report concluded that 158 US families and their corporations provided almost half (\$176 million) of all the money that was raised by both political parties in support of presidential candidates in 2016, primarily in support of ""Republican candidates who have pledged to pare regulations, cut taxes... and shrink entitlements."" Historians, investigative journalists, economists, and political scientists have analyzed the intricate facts of a turn toward oligarchy, shining a light on the systematic campaigns of public influence and political capture that helped drive and preserve an extreme free-market agenda at the expense of democracy."|Chap 2, Para 52|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
201|2|53|"A précis of Piketty's extensive research may be stated simply: *capitalism should not be eaten raw.* Capitalism, like sausage, is meant to be cooked by a democratic society and its institutions because raw capitalism is antisocial. As Piketty warns, ""A market economy... if left to itself... contains powerful []forces of divergence, which are potentially threatening to democratic societies and to the values of social justice on which they are based."" Many scholars have taken to describing these new conditions as *neofeudalism,* marked by the consolidation of elite wealth and power far beyond the control of ordinary people and the mechanisms of democratic consent. Piketty calls it a return to ""patrimonial capitalism,"" a reversion to a premodern society in which one's life chances depend upon inherited wealth rather than meritocratic achievement."|Chap 2, Para 53|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
202|2|54|"We now have the tools to grasp the collision in all of its destructive complexity: *what is unbearable is that economic and social inequalities have reverted to the preindustrial ""feudal"" pattern but that we, the people, have not.* We are not illiterate peasants, serfs, or slaves. Whether ""middle class"" or ""marginalized,"" we share the collective historical condition of individualized persons with complex social experiences and opinions. We are hundreds of millions or even billions of second-modernity people whom history has freed both from the once-immutable facts of a destiny told at birth and from the conditions of mass society. We know ourselves to be worthy of dignity and the opportunity to live an effective life. This is existential toothpaste that, once liberated, cannot be squeezed back into the tube. Like a detonation's rippling sound waves of destruction, the reverberations of pain and anger that have come to define our era arise from this poisonous collision between inequality's facts and inequality's feelings."|Chap 2, Para 54|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
203|2|55|"Back in 2011, those 270 interviews of London participants in the riots also reflected the scars of this collision. ""They expressed it in different ways,"" the report concludes, ""but at heart what the rioters talked about was a pervasive sense of injustice. For some, this was economic---the lack of a job, money, or opportunity. For others it was more broadly social, not just the absence of material things, but how they felt they were treated compared with others...."" The ""sense of being invisible"" was ""widespread."" As one woman explained, ""The young these days *need to be heard.* It's got to be justice for them."" And a young man reflected, ""When no one cares about you you're gonna eventually make them care, you're gonna cause a disturbance."" Other analyses cite ""the denial of dignity"" expressed in the wordless anger of the North London rampage."|Chap 2, Para 55|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
204|2|56|"When the Occupy movement erupted on another continent far from London's beleaguered neighborhoods, it appeared to have little in common []with the violent eruptions that August. The 99 percent that Occupy intended to represent is not marginalized; on the contrary, the very legitimacy of Occupy was its claim to supermajority status. Nevertheless, Occupy revealed a similar conflict between inequality's facts and inequality's feelings, expressed in a creatively individualized political culture that insisted on ""direct democracy"" and ""horizontal leadership."" Some analysts concluded that it was this conflict that ultimately crippled the movement, with its ""inner core"" of leaders unwilling to compromise their highly individualized approach in favor of the strategies and tactics required for a durable mass movement. However, one thing is certain: there were no serfs in Zuccotti Park. On the contrary, as one close observer of the movement ruminated, ""What is different is that than our rulers. We saw further and proved to have better judgment, thus reversing the traditional legitimacy of our elite governance that those in charge know better than the unwashed."""|Chap 2, Para 56|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
205|2|57|This is the existential contradiction of the second modernity that defines our conditions of existence: we want to exercise control over our own lives, but everywhere that control is thwarted. Individualization has sent each one of us on the prowl for the resources we need to ensure effective life, but at each turn we are forced to do battle with an economics and politics from whose vantage point we are but ciphers. We live in the knowledge that our lives have unique value, but we are treated as invisible. As the rewards of late-stage financial capitalism slip beyond our grasp, we are left to contemplate the future in a bewilderment that erupts into violence with increasing frequency. Our expectations of psychological self-determination are the grounds upon which our dreams unfold, so the losses we experience in the slow burn of rising inequality, exclusion, pervasive competition, and degrading stratification are not only economic. They slice us to the quick in dismay and bitterness because we know ourselves to be worthy of individual dignity and the right to a life on our own terms.|Chap 2, Para 57|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
206|2|58|"The deepest contradiction of our time, the social philosopher Zygmunt Bauman wrote, is ""the yawning gap between the right of self-assertion and the capacity to control the social settings which render such self-assertion feasible. It is from that abysmal gap that the most poisonous effluvia contaminating the lives of contemporary individuals emanate."" Any new chapter in []the centuries-old story of human emancipation, he insisted, must begin here. Can the instability of the second modernity give way to a new synthesis: a *third modernity* that transcends the collision, offering a genuine path to a flourishing and effective life for the many, not just the few? What role will information capitalism play?"|Chap 2, Para 58|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
207|2|59|"Apple once launched itself into that ""abysmal gap,"" and for a time it seemed that the company's fusion of capitalism and the digital might set a new course toward a third modernity. The promise of an advocacy-oriented digital capitalism during the first decade of our century galvanized second-modernity populations around the world. New companies such as Google and Facebook appeared to bring the promise of the inversion to life in new domains of critical importance, rescuing information and people from the old institutional confines, enabling us to find what and whom we wanted, when and how we wanted to search or connect."|Chap 2, Para 59|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
208|2|60|"The Apple inversion implied trustworthy relationships of advocacy and reciprocity embedded in an alignment of commercial operations with consumers' genuine interests. It held out the promise of a new digital market form that might transcend the collision: an early intimation of a third-modernity capitalism summoned by the self-determining aspirations of individuals and indigenous to the digital milieu. The opportunity for ""my life, my way, at a price I can afford"" was the human promise that quickly lodged at the very heart of the commercial digital project, from iPhones to one-click ordering to massive open online courses to on-demand services to hundreds of thousands of web-based enterprises, apps, and devices."|Chap 2, Para 60|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
209|2|61|There were missteps, shortfalls, and vulnerabilities, to be sure. The potential significance of Apple's tacit new logic was never fully grasped, even by the company itself. Instead, the corporation produced a steady stream of contradictions that signaled business as usual. Apple was criticized for extractive pricing policies, offshoring jobs, exploiting its retail staff, abrogating responsibility for factory conditions, colluding to depress wages via illicit []noncompete agreements in employee recruitment, institutionalized tax evasion, and a lack of environmental stewardship---just to name a few of the violations that seemed to negate the implicit social contract of its own unique logic.|Chap 2, Para 61|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
210|2|62|"When it comes to genuine economic mutation, there is always a tension between the new features of the form and its mother ship. A combination of old and new is reconfigured in an unprecedented pattern. Occasionally, the elements of a mutation find the right environment in which to be ""selected"" for propagation. This is when the new form stands a chance of becoming fully institutionalized and establishes its unique migratory path toward the future. But it's even more likely that potential mutations meet their fate in ""transition failure,"" drawn back by the gravitational pull of established practices."|Chap 2, Para 62|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
211|2|63|"Was the Apple inversion a powerful new economic mutation running the gauntlet of trial and error on its way to fulfilling the needs of a new age, or was it a case of transition failure? In our enthusiasm and growing dependency on technology, we tended to forget that the same forces of capital from which we had fled in the ""real"" world were rapidly claiming ownership of the wider digital sphere. This left us vulnerable and caught unawares when the early promise of information capitalism took a darker turn. We celebrated the promise of ""help is on the way"" while troubling questions broke through the haze with increasing regularity, each one followed by a predictable eruption of dismay and anger."|Chap 2, Para 63|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
212|2|64|"Why did Google's Gmail, launched in 2004, scan private correspondence to generate advertising? As soon as the first Gmail user saw the first ad targeted to the content of her private correspondence, public reaction was swift. Many were repelled and outraged; others were confused. As Google chronicler Steven Levy put it, ""By serving ads related to content, Google seemed almost to be reveling in the fact that users' privacy was at the mercy of the policies and trustworthiness of the company that owned the servers. And since those ads made profits, Google was making it clear that it would exploit the situation."""|Chap 2, Para 64|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
213|2|65|"In 2007 Facebook launched Beacon, touting it as ""a new way to socially distribute information."" Beacon enabled Facebook advertisers to track users across the internet, disclosing users' purchases to their personal networks []without permission. Most people were outraged by the company's audacity, both in tracking them online and in usurping their ability to control the disclosure of their own facts. Facebook founder Mark Zuckerberg shut the program down under duress, but by 2010 he declared that privacy was no longer a social norm and then congratulated himself for relaxing the company's ""privacy policies"" to reflect this self-interested assertion of a new social condition. Zuckerberg had apparently never read user Jonathan Trenn's rendering of his Beacon experience:"|Chap 2, Para 65|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
214|2|66|":::  I purchased a diamond engagement ring set from overstock in preparation for a New Year's surprise for my girlfriend.... Within hours, I received a shocking call from one of my best friends of surprise and ""congratulations"" for getting engaged.(!!!) Imagine my horror when I learned that overstock had published the details of my purchase (including a link to the item and its price) on my public Facebook newsfeed, as well as notifications to all of my friends. ALL OF MY FRIENDS, including my girlfriend, and all of her friends, etc.... ALL OF THIS WAS WITHOUT MY CONSENT OR KNOWLEDGE. I am totally distressed that my surprise was ruined, and what was meant to be something special and a lifetime memory for my girlfriend and I was destroyed by a totally underhanded and infuriating privacy invasion. I want to wring the neck of the folks at overstock and facebook who thought that this was a good idea. It sets a terrible precedent on the net, and I feel that it ruined a part of my life. :::"|Chap 2, Para 66|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
215|2|67|"Among the many violations of advocacy expectations, ubiquitous ""terms-of-service agreements"" were among the most pernicious. Legal experts call these ""contracts of adhesion"" because they impose take-it-or-leave-it conditions on users that stick to them whether they like it or not. Online ""contracts"" such as terms-of-service or terms-of-use agreements are also referred to as ""click-wrap"" because, as a great deal of research shows, most people get wrapped in these oppressive contract terms by simply clicking on the box that says ""I agree"" without ever reading the agreement. In many cases, simply browsing a website obligates you to its terms-of-service agreement even if you don't know it. Scholars point out that these digital []documents are excessively long and complex in part to discourage users from actually reading the terms, safe in the knowledge that most courts have upheld the legitimacy of click-wrap agreements despite the obvious lack of meaningful consent. US Supreme Court Chief Justice John Roberts admitted that he ""doesn't read the computer fine print."" Adding insult to injury, terms of service can be altered unilaterally by the firm at any time, without specific user knowledge or consent, and the terms typically implicate other companies (partners, suppliers, marketers, advertising intermediaries, etc.) without stating or accepting responsibility for *their* terms of service. These ""contracts"" impose an unwinnable infinite regress upon the user that law professor Nancy Kim describes as ""sadistic."""|Chap 2, Para 67|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
216|2|68|"Legal scholar Margaret Radin observes the Alice-in-Wonderland quality of such ""contracts."" Indeed, the sacred notions of ""agreement"" and ""promise"" so critical to the evolution of the institution of contract since Roman times have devolved to a ""talismanic"" signal ""merely indicating that the firm deploying the boilerplate wants the recipient to be bound."" Radin calls this ""private eminent domain,"" a unilateral seizure of rights without consent. She regards such ""contracts"" as a moral and democratic ""degradation"" of the rule of law and the institution of contract, a perversion that restructures the rights of users granted through democratic processes, ""substituting for them the system that the firm wishes to impose.... Recipients must enter a legal universe of the firm's devising in order to engage in transactions with the firm."""|Chap 2, Para 68|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
217|2|69|"The digital milieu has been essential to these degradations. Kim points out that paper documents once imposed natural restraints on contracting behavior simply by virtue of their cost to produce, distribute, and archive. Paper contracts require a physical signature, limiting the burden a firm is likely to impose on a customer by requiring her to read multiple pages of fine print. Digital terms, in contrast, are ""weightless."" They can be expanded, reproduced, distributed, and archived at no additional cost. Once firms understood that the courts were disposed to validate their click-wrap and browse-wrap agreements, there was nothing to stop them from expanding the reach of these degraded contracts ""to extract from consumers additional benefits unrelated to the transaction."" This coincided with the discovery of behavioral surplus that we examine in [Chapter 3](chapter003.xhtml), as terms-of-service agreements were extended to include baroque and perverse ""privacy policies,"" []establishing another infinite regress of these terms of expropriation. Even the former Federal Trade Commission Chairperson Jon Leibowitz publicly stated, ""We all agree that consumers don't read privacy policies."" In 2008 two Carnegie Mellon professors calculated that a reasonable reading of all the privacy policies that one encounters in a year would require 76 full workdays at a national opportunity cost of \$781 billion. The numbers are much higher today. Still, most users remain unaware of these ""rapacious"" terms that, as Kim puts it, allow firms ""to acquire rights without bargaining and to stealthily establish and embed practices before users, and regulators, realize what has happened."""|Chap 2, Para 69|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
218|2|70|At first, it had seemed that the new internet companies had simply failed to grasp the moral, social, and institutional requirements of their own economic logic. But with each corporate transgression, it became more difficult to ignore the possibility that the pattern of violations signaled a feature, not a bug. Although the Apple miracle contained the seeds of economic reformation, it was poorly understood: a mystery even to itself. Long before the death of its legendary founder, Steve Jobs, its frequent abuses of user expectations raised questions about how well the corporation understood the deep structure and historic potential of its own creations. The dramatic success of Apple's iPod and iTunes instilled internet users with a sense of optimism toward the new digital capitalism, but Apple never did seize the reins on developing the consistent, comprehensive social and institutional processes that would have elevated the iPod's promise to an explicit market form, as Henry Ford and Alfred Sloan had once done.|Chap 2, Para 70|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
219|2|71|"These developments reflect the simple truth that genuine economic reformation takes time and that the internet world, its investors and shareholders, were and are in a hurry. The credo of digital innovation quickly turned to the language of disruption and an obsession with speed, its campaigns conducted under the flag of ""creative destruction."" That famous, fateful phrase coined by evolutionary economist Joseph Schumpeter was seized upon as a way to legitimate what Silicon Valley euphemistically calls ""permissionless innovation."" Destruction rhetoric promoted what I think of as a ""boys and their toys"" theory of history, as if the winning hand in capitalism is about blowing things up with new technologies. Schumpeter's analysis was, in fact, far more nuanced and complex than modern destruction rhetoric suggests."|Chap 2, Para 71|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
220|2|72|"[]Although Schumpeter regarded capitalism as an ""evolutionary"" process, he also considered that relatively few of its continuous innovations actually rise to the level of evolutionary significance. These rare events are what he called ""mutations."" These are enduring, sustainable, qualitative shifts in the logic, understanding, and practice of capitalist accumulation, not random, temporary, or opportunistic reactions to circumstances. Schumpeter insisted that this evolutionary mechanism is triggered by new consumer needs, and alignment with those needs is the discipline that drives sustainable mutation: ""The capitalist process, not by coincidence but by virtue of its mechanism, progressively raises the standard of life of the masses."""|Chap 2, Para 72|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
221|2|73|"If a mutation is to be reliably sustained, its new aims and practices must be translated into new institutional forms: ""The fundamental impulse that sets and keeps the capitalist engine in motion comes from the new consumers' goods, the new methods of production or transportation, the new markets, the new forms of industrial organization that capitalist enterprise creates."" Note that Schumpeter says ""creates,"" not ""destroys."" As an example of mutation, Schumpeter cites ""the stages of organizational development from the craft shop to the factory to a complex corporation like U.S. Steel...."""|Chap 2, Para 73|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
222|2|74|"Schumpeter understood creative destruction as one unfortunate by-product of a long and complex process of creative sustainable change. ""Capitalism,"" he wrote, *""creates and destroys.""* Schumpeter was adamant on this point: ""Creative response shapes the whole course of subsequent events and their 'long-run' outcome.... Creative response changes social and economic situations for good.... This is why creative response is an essential element in the historical process: No deterministic credo avails against this."" Finally, and contrary to the rhetoric of Silicon Valley and its worship of speed, Schumpeter argued that genuine mutation demands patience: ""We are dealing with a process whose every element takes considerable time in revealing its true features and ultimate effects.... We must judge its performance over time, as it unfolds through decades or centuries."""|Chap 2, Para 74|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
223|2|75|"The significance of a ""mutation"" in Schumpeter's reckoning implies a high threshold, one that is crossed in time through the serious work of inventing new institutional forms embedded in the new needs of new people. Relatively little destruction is creative, especially in the absence of a robust []double movement. This is illustrated in Schumpeter's example of US Steel, founded by some of the Gilded Age's most notorious ""robber barons,"" including Andrew Carnegie and J. P. Morgan. Under pressure from an increasingly insistent double movement, US Steel eventually institutionalized fair labor practices through unions and collective bargaining as well as internal labor markets, career ladders, professional hierarchies, employment security, training, and development, all while implementing its technological advances in mass production."|Chap 2, Para 75|02 THE DISCOVERY OF BEHAVIORAL SURPLUS
